r E0_error E1_error
0 48.57803718344217 nan
1 37.42080039083856 65.37704206175337
2 9.499507371541036 36.20122983080942
3 4.405390190188167 17.71308719390637
4 2.516876620677406 11.47508156282021
5 1.55918982385438 8.66067207945151
6 0.8628701803709733 6.819694720517072
7 0.4927435607633247 4.937537814325772
8 0.2863011807662235 4.236882820413577
9 0.1762721577127498 3.894670745881272
10 0.1107052930850161 3.679240005800349
11 0.05896377406449915 3.004208092699902
12 0.0334665825977451 2.247707124666263
13 0.02344475601022028 1.832976666603512
14 0.01601375799590343 1.576801268428691
15 0.01010859408337617 1.218780833387557
16 0.006481874536460014 0.8904326450500596
17 0.004218244463300325 0.5524051810545462
18 0.002769827529899127 0.2638370004206937
19 0.001758541819437909 0.1246344333406282
20 0.001176698545296867 0.06850434345369938
21 0.0008067812651688655 0.04270118537892009
22 0.0005499207069111778 0.02725785660214475
23 0.000402678625700259 0.02100384784836296
24 0.0002138390785802746 0.01297494727164705
25 8.622908742594859e-05 0.006110033218386657
26 3.261863326442516e-05 0.002560019778348188
27 1.524067801725315e-05 0.00128273866627393
28 6.970370246078827e-06 0.0006256950185616894
29 2.632493588311524e-06 0.0002486740020611888
30 5.000767106244641e-07 4.940266168573793e-05
31 8.703812798271926e-08 8.795691668783689e-06
32 1.996342063881329e-08 2.063861434420389e-06
33 4.960602678627524e-09 5.266489083721737e-07
34 7.28346216671838e-10 7.960647741001026e-08
35 2.204395277427551e-10 2.462147841164608e-08
36 5.933611935127203e-11 6.7866589015253e-09
37 1.406594285491281e-11 1.645937497407601e-09
38 2.469163762341964e-12 2.943232324525979e-10
39 3.270161919033399e-13 3.827449468474242e-11
40 7.97695243193175e-14 6.278644271162648e-12
41 4.191091917959966e-15 1.375233260603181e-12
42 3.125277814319816e-14 3.069766663088558e-13
43 6.630807014573747e-14 2.065014825802791e-14
44 3.672062653947705e-14 7.327471962526033e-15
45 2.700617507400693e-14 2.40918396343659e-14
46 1.459943277382081e-14 3.141931159689193e-14
47 1.790234627208065e-14 2.486899575160351e-14
48 1.976196983832779e-14 4.707345624410664e-14
49 1.307287611496122e-14 1.032507412901396e-14
50 1.990074771640593e-14 3.008704396734174e-14
51 4.388156504830931e-14 1.676436767183986e-14
52 2.417510636121278e-14 3.208544541166702e-14
53 3.10029779626575e-14 1.376676550535194e-14
54 6.086797732507421e-14 2.731148640577885e-14
55 2.819966482547898e-14 4.585221091701897e-14
56 1.124100812432971e-14 3.697042672001771e-14
57 2.436939539052219e-14 2.275957200481571e-14
58 2.142730437526552e-14 2.731148640577885e-14
59 2.089994843856857e-14 3.352873534367973e-14
60 2.775557561562891e-14 1.354472090042691e-14
