x exact r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 r27 r28 r29 r30 r31 r32 r33 r34 r35 r36 r37 r38 r39 r40 r41 r42 r43 r44 r45 r46 r47 r48 r49 r50 r51 r52 r53 r54 r55 r56 r57 r58 r59 r60
-19.2 5.340978198699255e-129 0 -2.60252264933274e-17 5.062719867771276e-17 -3.244792537401714e-17 2.392512064494662e-17 -1.765829648203863e-17 2.975004216682438e-17 -1.586230278029126e-17 2.292923077264723e-17 -2.553419743790169e-17 2.814700165637794e-17 -3.158784153280827e-17 2.764519542120003e-17 -2.942344980069585e-17 2.553503696774294e-17 -2.180498570763998e-17 2.931378802369489e-17 -3.012608331295287e-17 2.582934001001967e-17 -2.658834939416853e-17 2.454546509436966e-17 -3.132716402272557e-17 3.767141535684559e-17 -4.475682520437301e-17 5.653149717521756e-17 -1.184066745744648e-16 -1.839711181428674e-16 2.723305417245024e-16 -1.552971182913899e-16 -4.186571281861069e-16 2.515216178911367e-16 6.912551389711676e-16 7.320561174302838e-16 3.641948597388084e-16 -9.001548122163885e-16 -2.817317343433446e-16 -6.084564711194674e-16 -5.684543956608098e-16 3.036950132522253e-16 -1.19146148521475e-15 -2.463647049703145e-16 -5.488198188105217e-17 -9.686066354980848e-17 7.352427061034257e-17 -3.049356394971138e-16 -5.818455617414706e-16 -1.560208266387623e-15 -4.031313715272281e-17 1.908712134165001e-16 -3.61497986547759e-17 -1.007985761321801e-16 -6.000085914483644e-16 6.967238998829557e-16 1.229686227604258e-15 3.899243356887358e-16 -1.764264147171362e-15 -1.226786443264688e-15 -4.342131968348287e-16 5.856548767571835e-17 2.681456624157028e-16 1.720380199431872e-16
-19.05 -8.02554982515792e-44 0 0 -3.078374896641845e-18 1.381403948421122e-18 8.780777361826002e-18 -1.504894501031312e-17 -1.528051389113031e-18 -1.611268243667439e-18 2.348699519309228e-18 3.028211128933941e-18 3.338430534801467e-18 -5.749197679494332e-19 -2.345740889299703e-18 -1.739989417062885e-19 9.182348519691357e-19 3.7647054956365e-19 1.243422073576255e-18 -1.858628684484063e-18 1.607382704717859e-18 3.901562705345811e-18 2.405583435166474e-18 1.296721006184283e-18 -4.771297146281143e-18 -9.522663439742254e-19 6.283958198406376e-18 1.190966131565828e-17 1.405657148362127e-17 -1.86749910788823e-17 -9.975628415436223e-17 -7.734672233784459e-17 -5.156791378616796e-18 -1.194538398870103e-16 -2.02140503569386e-16 -1.18595909091876e-16 2.102740810563845e-16 1.055513971810255e-16 2.212077869572132e-16 8.216673611227922e-17 -4.558483964581315e-17 -2.790854544573842e-17 -3.76628178337144e-17 -3.557229784133984e-18 3.153611611677366e-18 1.714412860365799e-18 -2.191432012962479e-17 1.552252255434872e-18 1.029682089519679e-17 -2.452572025126717e-17 -7.121497480115232e-17 -5.645180126906695e-17 6.874773534637546e-18 5.275634882266127e-19 7.346536362018867e-17 1.057952502375199e-16 6.418732298439796e-17 -1.240069603907993e-16 -1.043607146978955e-16 -4.759147580256251e-19 -8.302475949125873e-18 7.793021768923088e-17 3.085778412096151e-17
-18.9 5.408574380494003e-42 0 0 1.74475716319496e-19 6.021772265095983e-19 -8.248995005922296e-19 -1.159068952752633e-17 2.504627254325766e-19 8.200236879256396e-18 -2.338382448124634e-18 -6.473910246991553e-19 -1.845538026280091e-18 2.578020649043941e-18 1.081784553672446e-18 -1.540851045780141e-18 -1.214225925327249e-18 1.794338834646071e-18 5.142922725247907e-19 -9.06360643825274e-19 -7.723190476969725e-19 5.346007398388623e-19 3.32684580790325e-19 -1.840276388739849e-19 -1.5003824555282e-19 -1.07242505714664e-19 -2.027169873850963e-20 1.494820020936966e-20 -5.526305801978664e-20 -1.406403222263914e-19 1.756566695502133e-19 -4.677257089980003e-19 -3.658922751736619e-19 9.156848520046716e-19 -6.718887373876115e-19 -1.220808193616449e-18 -9.969487836826481e-19 6.47081952871109e-19 -4.701616899562602e-19 1.05614128565462e-18 2.656799998333705e-19 -4.644629860219329e-19 -2.440560119707489e-19 -1.799245538613495e-19 -1.079349352762036e-19 -1.758265107727328e-20 1.529785748753632e-19 -9.040676720223363e-20 -9.835699163591814e-21 1.449404653164668e-19 1.661081320129309e-19 -1.486652202335272e-19 -4.201327448905194e-19 -6.072815774209473e-21 -3.109992499754099e-19 3.386774369330612e-19 5.00182044145812e-19 1.422554861143273e-18 4.056691671949474e-20 -5.960651500659635e-19 -1.196759463687215e-19 -5.876410815559453e-19 7.863641443030377e-20
-18.75 4.377379220069207e-41 0 0 0 7.699689593503144e-18 -2.379916814141272e-19 -7.615374611138671e-18 -1.297500684412379e-17 6.5193786361369e-18 7.619751447821578e-18 -6.260984307800002e-18 -5.890392213097559e-18 4.944238561925621e-18 3.437500233385845e-18 -1.346630500610637e-18 -3.377755060198703e-18 7.157917995299528e-19 2.966471635896148e-18 -8.962895489613153e-20 -1.363389119105529e-18 -2.026516332175606e-19 7.731091197325228e-19 -4.416202664974575e-19 -9.246995638520663e-19 1.189345985552235e-19 1.692413912924511e-18 7.052339180879622e-19 -5.690778207365852e-19 -1.660599255676538e-19 -3.975947270709358e-19 -2.617915117180298e-19 -1.665294369602048e-19 -2.94157368355657e-21 9.592493497443303e-20 8.490973864404004e-20 -8.288886571934178e-20 -4.152549380657681e-20 -2.279334237367207e-21 9.877487396375097e-22 7.993089434811377e-21 1.583691878267071e-22 -1.845996810377852e-21 -1.343967680026261e-21 -1.170012639813934e-21 -6.557227674709203e-22 -5.015514546262975e-22 6.144119971591301e-22 -7.029923891755806e-22 -3.52903312433541e-22 7.543871704677919e-22 1.205195078377418e-21 -2.936119961317227e-22 -2.691230022375908e-21 -3.459424593651406e-22 -3.21716434368133e-21 9.238541272060981e-22 2.256334554921079e-21 7.271028521093118e-21 2.194387863244053e-21 -1.582423987350729e-21 1.694684804303901e-21 -1.598152695293453e-21
-18.6 -1.799308511868295e-40 0 0 0 1.769049877329192e-18 -3.573369474231134e-18 -8.144308067946693e-18 5.123875275046454e-18 -1.515683104685325e-18 2.443493792911334e-18 1.796125940160954e-20 -5.232540683820325e-18 -2.856807479881827e-19 2.108136104418343e-18 -1.366924777202896e-18 -6.402371868370419e-19 1.357548260682066e-18 1.291935596495044e-19 -2.000917642751606e-19 -5.239541347265479e-19 2.147126929825556e-19 2.758848676730929e-19 -3.399326126878444e-19 1.645190673616586e-19 -1.158718371744556e-20 -1.44517632318846e-19 -2.499303388958618e-19 2.125879444404654e-20 5.537658243795923e-20 -3.127176068663077e-19 -1.625576147715172e-19 -1.7052374245521e-19 -4.574982624185075e-20 2.385092124076901e-19 1.233375463320132e-19 5.385500225300666e-20 1.407487948832402e-20 -1.101068572748407e-20 -3.56904518615664e-21 -4.176798617525551e-22 6.665693584698684e-22 4.417145566068673e-22 1.129231539870289e-22 1.307046751868293e-23 -1.263528734070173e-24 -1.03363221222859e-23 -7.866064228223633e-24 5.054798460070284e-25 -3.917181084648581e-24 -2.891256322887467e-24 2.289719605926166e-24 6.624362050970204e-24 6.293229348884592e-25 -1.287752692849842e-23 -2.863810374521502e-24 -1.671617036835287e-23 1.952439985172776e-24 9.750776070895516e-24 3.164036546050833e-23 1.593747751979413e-23 -1.992693434281559e-23 8.8456443023547e-25
-18.45 -9.276785539691326e-39 0 0 0 -0 -2.852968006362857e-18 -3.354888648825141e-18 6.893521692794209e-18 -1.976185797995149e-18 -1.037898774261887e-17 -6.873204390062596e-19 5.017834415397898e-18 1.734353497714585e-19 -3.159810014567703e-18 -4.71562514812259e-19 1.431305961420865e-18 -1.217857812124044e-18 -1.267172067791209e-18 8.686074735743483e-19 7.590140430925684e-19 -1.141598145361668e-18 -8.552710747465143e-19 8.175718395490898e-19 6.225086995522276e-19 -2.605002366507264e-19 -5.712118018056125e-19 9.927158956684788e-20 2.323617696477076e-19 -1.731402043791324e-19 -5.270718486797596e-19 -2.130754209119476e-19 -1.461644581735307e-20 6.924102578130082e-20 6.05358670815065e-20 4.147516838317444e-20 -5.868352519349897e-20 -2.818527525380321e-20 -1.068363426346912e-20 -6.799998532224966e-22 3.564049115936104e-21 -5.326757992377196e-22 -5.748386436118456e-22 -1.726614431042039e-22 -5.951908187442048e-23 -1.304579223302297e-23 -5.526028584362436e-26 4.061885417630173e-24 3.778469523960362e-24 3.378499122650104e-24 1.475739177357506e-24 5.139092777724056e-25 1.005207308794767e-25 3.149177306143278e-26 1.157545310198505e-26 -8.333744217301302e-26 -3.241316117787496e-26 -1.19637258034696e-25 -1.959353881234736e-26 3.42884288335106e-26 1.223935932313275e-25 6.76551383775543e-26 -6.185254985545299e-26
-18.3 -3.712138463121207e-37 0 0 0 -0 -5.007778067421681e-20 -3.593110308102938e-18 6.765364018483479e-18 5.062895485213686e-18 -4.918571483959008e-19 -1.671150925521314e-18 1.883050443687264e-18 -8.372346368158967e-19 1.267420040312071e-18 8.225992548555674e-19 -3.832415356885695e-18 -1.474296482036977e-18 2.956376730294646e-18 5.566207763753633e-19 -1.698800533686748e-18 -3.753360036414783e-19 1.286057998906844e-18 -2.792978564044973e-19 -7.609304205449921e-19 1.935356365665732e-19 1.168638247984166e-18 -1.261021743144931e-19 -5.833556990841267e-19 8.054913280848218e-20 4.586765505513186e-19 1.026457290699922e-19 -8.912139451851319e-20 -1.477311233495198e-21 -6.179098809543401e-20 -4.755992482784938e-20 3.177512076505453e-21 3.856506329845664e-21 2.300736077438444e-21 1.28927316354189e-21 -7.492401097679246e-22 -1.471297343343442e-22 1.095283721430129e-23 7.23168897000711e-24 1.315208269663206e-23 3.331696655954237e-24 2.129524337522165e-24 7.398826969828301e-25 -3.084106341123588e-25 -5.211675831821712e-25 -1.58560486111503e-25 -8.847321548553976e-26 -3.303943882428759e-26 1.267153820403891e-26 5.21276145567587e-27 -7.23365395940911e-27 -4.167818251645001e-28 -1.709785285317955e-27 -1.742993923210193e-27 -5.122342757191502e-28 5.680980400256636e-29 8.823604858463896e-28 4.776306913036916e-28
-18.15 -1.283316398765146e-35 0 0 0 -0 0 2.144006095397474e-18 -1.77222736586383e-18 -1.608468920598096e-18 2.761457626414094e-19 3.369146078713703e-18 -3.450646703767299e-19 -2.021197775066031e-18 -3.78828257237798e-19 1.355279039685372e-18 -7.656069474925534e-19 -1.13048185532149e-18 2.587801318974466e-19 5.14520503478156e-19 -3.09288971627022e-19 -2.930371075423937e-19 1.098876028166931e-19 -7.3384412657776e-20 8.582308423773029e-20 1.811099615024535e-19 -3.375493646911178e-19 2.594928341479367e-20 -1.983537560592864e-20 -1.160523332478494e-19 -1.565531482332187e-19 -8.397375599045496e-20 3.623765747768028e-20 1.800222945420427e-19 4.139371980832625e-20 -1.738142635682163e-20 -5.105245562826164e-20 -1.529423938726254e-20 3.083070810311323e-21 3.090982160834385e-21 1.883795850948809e-21 -2.182017351043791e-23 -9.849186772238481e-23 -2.693030243258105e-23 -1.051986522795976e-23 -1.700172051981124e-24 9.18609947451931e-25 5.869583370331249e-25 7.128503393389305e-25 9.562215608731391e-25 1.859284070894253e-25 6.091789240517728e-26 2.498654453069588e-26 3.327403695813204e-26 -9.515401213257223e-28 -1.093913150067695e-26 -3.044707993585771e-27 -1.798606334424113e-27 -1.177332592668382e-28 4.153687296123247e-28 1.481425321437865e-28 -5.366025211070736e-31 8.516332741139513e-30
-18 -3.847445161005378e-34 0 0 0 -0 0 2.910106443908254e-19 1.024555369996855e-17 1.58383496329511e-18 -6.90218736390916e-18 1.442930604280601e-18 5.677636916110372e-18 -1.943501663323819e-18 -8.688675487716998e-19 1.236356556966022e-19 1.199293525306756e-18 -7.617203793244561e-19 -4.616192413048133e-19 3.277602464340971e-19 -2.364108990505986e-19 -3.354456116425541e-19 1.350279946225854e-21 1.235764654698454e-19 -1.616991263757991e-19 8.040827319293924e-20 -9.557947498805741e-20 2.321858667689586e-20 3.289350987612163e-20 -4.874658682996898e-20 -5.57198565244042e-19 -2.405529965978733e-19 -5.262251355918095e-20 -7.735741172839154e-20 1.030400988440041e-19 7.427349960382389e-20 2.97249614583843e-20 7.878483585841855e-21 -3.693152121740235e-21 -2.015743755544268e-21 -4.548579436650761e-22 -6.930899887704236e-23 7.348858399644944e-23 3.339282449501429e-23 8.059365814395919e-25 2.525714333420838e-24 -8.504853116239437e-25 -1.713511507925915e-26 4.24938232945301e-26 -4.39010914326597e-25 1.284217206407842e-25 3.645864154485352e-26 3.246325929412866e-26 -1.193576167018113e-26 1.898380325203111e-27 -3.157947588061405e-27 1.570657241102792e-27 4.584146085641233e-27 1.107790169799743e-27 1.220446426877968e-28 -2.182199807595323e-29 5.093199022922507e-29 1.154214565781709e-29
-17.85 -1.012970851999754e-32 0 0 0 -0 0 0 9.569195129714365e-19 5.378935530946365e-18 -6.591759015775586e-20 -3.051707147740105e-18 7.276681843812542e-19 2.776969942692149e-18 -4.824319571085481e-19 -1.016738293607294e-18 2.74750514070145e-18 2.868773741025751e-19 -1.789493546437832e-18 1.09352123407765e-19 2.068993721339485e-18 -9.414657306024035e-20 -1.447900839652692e-18 7.743295821218102e-19 8.581354655465564e-19 -4.751473409268358e-19 -1.347527878828956e-18 -7.799285959155355e-20 6.463614909050167e-19 7.261169264646421e-20 -1.748731965048153e-19 -9.802966708198903e-20 1.677125217606991e-19 -6.608033347604401e-20 -2.279837683372776e-19 -9.865772060025568e-20 6.198179886808053e-20 1.574619612497013e-20 -1.380201040939327e-21 -5.648406506345938e-21 -2.000468847002537e-21 1.396579440590197e-21 8.238987788928009e-22 2.180219431992439e-22 4.81902864718252e-23 5.501532346420431e-24 -1.49617737539089e-24 -1.768090279625327e-24 -1.181634285347136e-24 -1.03391848837684e-24 -2.698011172445385e-25 -1.194602832918449e-25 -5.853879056394149e-26 -2.6883190081767e-26 6.849104679763787e-27 1.817274457002192e-27 4.014735772125066e-27 7.624398042597862e-28 -4.246360930999092e-28 -3.907693293046478e-28 -9.75149077426542e-29 6.583432689160924e-29 2.63068433561984e-29
