x exact r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 r27 r28 r29 r30 r31 r32 r33 r34 r35 r36 r37 r38 r39 r40 r41 r42 r43 r44 r45 r46 r47 r48 r49 r50 r51 r52 r53 r54 r55 r56 r57 r58 r59 r60
-19.2 1.245143088853953e-128 -3.249653113671552e-17 -2.885344297689014e-17 8.494467865689045e-18 3.173370296144192e-17 -1.06734977315677e-17 -1.563029717686125e-17 1.875498865310961e-17 5.592896620675944e-18 -1.405187977789647e-17 -2.359085207812861e-17 5.632202802649972e-17 1.403748844474147e-16 -2.513130079345616e-17 -7.836470881650427e-17 2.161591618513028e-17 1.039737139485511e-16 -1.283522198406369e-16 -8.07744408812108e-17 -3.583640689447521e-17 1.01297927374207e-17 -5.514183564277807e-17 4.335462333768549e-17 -1.285446199127276e-16 6.833951895009679e-17 -5.639846642436109e-16 -7.297854102990375e-16 2.648417126323882e-15 -1.205919106374924e-15 -3.46637830425783e-15 2.58069240893079e-15 7.13634831106787e-15 7.759071168165316e-15 4.479780900049962e-15 -1.038886379832728e-14 -3.362356578380851e-15 -7.056638271944681e-15 -5.517241482747807e-15 4.392535954466045e-15 -1.234217139395529e-14 -3.664211043931304e-15 -1.15371462369027e-15 -1.754728639715567e-15 -4.237527093377067e-16 -5.610054252999482e-15 -8.227432156907228e-15 -1.757538545497481e-14 -3.672483848681956e-16 1.871633519749584e-15 -7.829561964053556e-16 -1.772962425868632e-15 -5.97506921421098e-15 9.778668810094245e-15 1.58455406887046e-14 3.735848411326802e-15 -2.333466132258069e-14 -1.573359666533373e-14 -4.238096284547753e-15 1.005000788344583e-15 4.442979864831833e-15 2.693328874624128e-15
-19.05 -3.956247741970606e-43 -0 -4.453250013741213e-17 -8.545505854356139e-18 -1.246812484092042e-17 -6.124135407173563e-19 -1.100987618243798e-18 9.955949563036449e-18 -3.77410855111539e-18 1.743408668712919e-18 -1.04242880616964e-18 -2.716187874592582e-17 7.324778592521679e-17 -6.247696511239393e-17 5.954244740912017e-17 1.465490110805913e-16 -9.495243413172215e-17 -1.053387443024755e-16 1.196324877630274e-16 1.398250080204211e-16 3.17744375555158e-17 -7.930397571541955e-17 6.284719008243112e-17 -5.094735489968892e-17 8.80910412198117e-17 1.356988559095049e-17 1.111126043171534e-16 -3.600246690606275e-17 -8.899643515471647e-16 -7.725267945850538e-16 -1.788420133745761e-16 -1.261091500646999e-15 -2.130584327117526e-15 -1.329186227383092e-15 2.231169947974484e-15 1.343425823889381e-15 2.355145783805501e-15 9.400619890889556e-16 -5.696452716514176e-16 -4.269980055952656e-16 -4.522146724523794e-16 -3.837172197806933e-17 7.498195562550686e-17 -4.735116347690536e-17 -2.27187963286981e-16 2.489209574744774e-17 9.294571090477058e-17 -3.86020485102131e-16 -9.301645019993663e-16 -6.574149774421014e-16 8.052901417054141e-17 1.460877685335588e-16 1.016841783548813e-15 1.432118710450875e-15 7.272528676591694e-16 -1.656599584009313e-15 -1.260167411883413e-15 -6.148161723824862e-17 -4.923816361535807e-17 1.100493798111995e-15 4.315621677740733e-16
-18.9 1.62764022406319e-41 -0 -5.547850231603204e-18 -5.908587375582582e-18 -3.597639329532095e-17 -1.135041101722669e-17 2.22332807922049e-17 6.276969016315908e-18 -1.314641189146975e-17 -1.517472887577655e-18 5.804819798105219e-18 -1.738112190685657e-17 2.883120305330555e-18 3.96484297780843e-18 -5.593996731543631e-18 1.152021175926967e-17 2.586704104909063e-18 -1.131216441830623e-17 -5.630263196951344e-18 1.372384951877957e-17 4.497961087844632e-18 -4.579550207549276e-18 -3.364096879934185e-18 2.495086377952154e-19 -1.811239651103738e-19 1.388238505447508e-19 -1.199076415287663e-18 -1.233837700371709e-18 2.078145472456538e-18 -3.981586960111046e-18 -3.561930973393617e-18 8.697693481911873e-18 -6.97766685041699e-18 -1.267668464809966e-17 -1.084663916711239e-17 6.794432323835991e-18 -4.085572253734965e-18 1.158272131560067e-17 3.035320325963512e-18 -5.432606882890927e-18 -3.221591279629139e-18 -2.24554875842449e-18 -1.257523002297858e-18 -7.204976697768718e-20 1.5991588679797e-18 -1.014274237611041e-18 -8.500363101873498e-20 1.624786698424252e-18 1.667571859119285e-18 -2.092842177352892e-18 -5.087964729178295e-18 -8.271783765833044e-20 -3.38066936822792e-18 4.655801769940369e-18 6.715765207282401e-18 1.782891889697101e-17 2.616545948636135e-19 -7.461161753334469e-18 -1.722069332137142e-18 -7.644066752623206e-18 1.049146012593263e-18
-18.75 1.306142703592372e-40 -0 -0 -1.734128253495402e-17 -9.507807497898474e-18 -6.186492681798951e-18 4.623425072036148e-18 1.272624627469083e-17 1.214087818404491e-17 -6.918075057324652e-18 -1.44938339729184e-17 -9.732543287764806e-18 9.915089034077101e-18 -4.272958971433672e-18 -5.781818778026605e-18 1.310489982415352e-17 5.574450833184134e-18 -1.513997776223781e-17 -2.516621591410427e-18 4.27894431544813e-18 -2.910908673636665e-19 -5.610179718811943e-18 -2.747305203672433e-18 1.851730445942253e-18 1.200048864941891e-17 5.705535806849113e-18 -4.139863620775419e-18 -1.032047984956225e-18 -4.156255616551446e-18 -2.80863732021102e-18 -1.497385119864643e-18 7.475913282522371e-20 1.034430501194692e-18 9.0085720798633e-19 -8.737555902145103e-19 -4.396189508964793e-19 -2.145905530158156e-20 1.627303209642599e-20 8.650719630304932e-20 6.32124309527492e-22 -2.18200696811829e-20 -1.700501656824479e-20 -1.436063746747063e-20 -7.793019121930815e-21 -5.399428910143392e-21 6.696674705126819e-21 -8.177382657505916e-21 -4.045455732562731e-21 8.67427240349314e-21 1.333504994541148e-20 -4.773714468913068e-21 -3.297258820750912e-20 -4.28777864628237e-21 -3.831102945988927e-20 1.335744488931181e-20 3.022872346735445e-20 9.21804465409617e-20 2.73049613028774e-20 -1.960610776053332e-20 2.249783265067594e-20 -1.897970298884376e-20
-18.6 -6.1560565841949e-40 -0 -0 -1.630521357600793e-17 -1.642121282140287e-17 -1.512484747599006e-17 1.85858454160416e-17 1.623612422224696e-17 -2.375398109465524e-18 -2.180836709189599e-18 1.196793139500327e-18 6.304128918131584e-18 -5.311163301799559e-18 3.311718697372042e-18 4.574689594954755e-18 1.495793268510348e-18 -8.848417658513382e-18 1.718623610979029e-18 -1.150627745479149e-17 -1.520123556698419e-18 5.341439261733088e-18 -1.995840515332243e-18 -9.775223868800718e-19 -1.549187931309387e-20 -1.406510839689509e-18 -1.801690908886808e-18 4.763926052184967e-19 5.734040008710675e-19 -3.327346676434765e-18 -1.903911049439839e-18 -1.518830982295258e-18 -3.921181396826661e-19 2.37454334546546e-18 1.256675866993035e-18 5.576248344845988e-19 1.490159782819667e-19 -1.159849213708314e-19 -3.889589644870625e-20 -5.193406515885638e-21 7.686318570988369e-21 4.959150477241604e-21 1.259116427745053e-21 1.285404469617068e-22 -3.852201646893276e-23 -1.301749224185352e-22 -9.37695351117588e-23 3.149338093295246e-24 -4.67829401559798e-23 -3.41665589360291e-23 2.623128645942258e-23 7.5683453088943e-23 2.60680941577842e-24 -1.589611834380908e-22 -3.55423133043899e-23 -2.022811125870016e-22 3.215096997475447e-23 1.309362459299687e-22 4.032035955611833e-22 2.014610714064866e-22 -2.636013251874613e-22 2.330865524058141e-24
-18.45 -3.108400386589338e-38 -0 -0 -0 2.530927268384027e-17 9.94413777268797e-18 -7.651559549491747e-18 -1.499730837382333e-17 -4.209074658229102e-18 1.03019810290731e-17 -4.720301513496057e-18 -2.764544122191442e-17 1.71862745157432e-17 1.973233219264294e-17 -3.4240762095305e-18 -2.634117034367266e-17 -5.663724312496434e-18 3.400744076405907e-17 4.002092156668101e-18 -1.816343790642683e-17 -5.86487849375709e-18 7.005538095710348e-18 5.576272924217354e-18 -1.870102306561435e-18 -4.251758356599618e-18 7.089993725577259e-19 1.868070943000042e-18 -1.109785991376189e-18 -4.924344792281364e-18 -2.21764492252168e-18 1.003553797638774e-20 7.614746655540085e-19 6.560996804525062e-19 4.472303356451233e-19 -6.266788567539556e-19 -3.058326157462501e-19 -1.123236337794875e-19 -4.485630722023888e-21 3.991570670157525e-20 -6.293136603173417e-21 -6.660355555221931e-21 -2.035080804020494e-21 -6.944411524714935e-22 -1.446484599381294e-22 6.678682396377435e-24 4.968709113170901e-23 4.558863923936935e-23 4.014129903722723e-23 1.758132028151268e-23 6.139430798216932e-24 1.204554879446437e-24 3.805550774060851e-25 1.256844870013957e-25 -1.032029826000146e-24 -4.029091981950377e-25 -1.477709994696032e-24 -2.162992302906615e-25 4.668959612482281e-25 1.560134758306699e-24 8.449591707144282e-25 -7.486237291852411e-25
-18.3 -1.244504466295954e-36 -0 -0 -0 -1.240592311762746e-17 -1.178691029318408e-17 -3.954702855387617e-18 2.194758373304113e-17 -5.118623048353222e-18 -1.055720904738863e-17 5.908696748713181e-18 1.565783297178269e-17 9.187757582841604e-18 -8.784869790304504e-18 -2.26998028781709e-17 4.791227143255529e-19 2.424893455842399e-17 -5.722965095368277e-18 -1.230229973976983e-17 -1.033924287272756e-18 7.36320695773607e-18 -1.893047856662073e-18 -4.862188894148108e-18 1.338031577961134e-18 8.339378051297807e-18 -4.518530358665248e-19 -4.78741132426577e-18 6.318427122495125e-19 4.355458783807419e-18 1.107748062234655e-18 -9.232331064295225e-19 -5.735448881389013e-20 -6.322467959265338e-19 -4.908430719869649e-19 3.386448400558668e-20 4.196771371591981e-20 2.515398195088849e-20 1.353962685300517e-20 -8.287420179881872e-21 -1.581068362185181e-21 1.300239132442598e-22 1.137507742612478e-22 1.570886583294231e-22 4.307013209545746e-23 2.571744711271931e-23 8.509951460073942e-24 -3.593379767012729e-24 -6.024620251820147e-24 -1.883655798014841e-24 -1.052277913272248e-24 -3.79725281506608e-25 1.589629970603831e-25 6.155113207106116e-26 -8.943600048351498e-26 -7.036866094138707e-27 -2.27095599167182e-26 -2.225268153323497e-26 -6.435196905466236e-27 8.025107897230073e-28 1.152697705433112e-26 6.258591868376079e-27
-18.15 -4.29957252052563e-35 -0 -0 -0 0 3.93898134129744e-18 -4.451302678887863e-18 -1.262727245369868e-18 -2.294089565416264e-18 2.024972055483079e-18 4.892181028927822e-19 7.046400549539163e-18 9.105819302850682e-18 -3.044264705585342e-18 -9.390228744196998e-18 -1.06855103387309e-17 2.619667626387357e-18 4.388239004373075e-18 -5.735248852081699e-19 -3.316400852593816e-18 1.745567090059272e-18 2.290177889976462e-18 -1.156622219078516e-18 9.471309855428128e-19 -2.129093762736272e-18 1.630696389131224e-19 -3.447703832527568e-19 -7.006759310783402e-19 -1.244576964022952e-18 -6.564932445183756e-19 4.365388488225088e-19 1.802513957792013e-18 4.355020079338943e-19 -1.744022364124003e-19 -5.345329775421198e-19 -1.619458465239339e-19 3.286523229236943e-20 3.44571215318331e-20 2.022923928320742e-20 -3.268399990248762e-22 -1.137281640151222e-21 -3.17736403280536e-22 -1.121523471129008e-22 -1.733184342052195e-23 1.176487180797457e-23 7.767464608919494e-24 8.888487583038852e-24 1.119680951254396e-23 2.27918037585071e-24 7.724315305516815e-25 3.241196841648532e-25 4.028518773067248e-25 -1.423032619908599e-26 -1.34687185468235e-25 -3.813042170523033e-26 -2.20986422138696e-26 -9.787709999330688e-28 5.344916014777352e-27 1.927459279595902e-27 -2.672921704961408e-29 9.59059328043225e-29
-18 -1.287446567845941e-33 -0 -0 -0 0 7.594221512674581e-18 -2.309693686312232e-18 4.319419217563817e-18 -1.775451609686611e-18 1.269748654141933e-18 6.887370992776294e-18 8.914520353198215e-18 2.726175981039178e-18 -2.263116321392444e-18 -1.903320600155942e-18 -5.409096627641313e-18 5.345898972392135e-18 8.943889966241803e-18 -6.142315795748459e-18 -3.696039093948811e-18 1.226975568058685e-18 2.052763128344329e-18 -1.377282643935487e-18 2.8119646444895e-19 1.270895356522336e-19 -4.975325058449751e-20 2.792507284423789e-19 -2.202904255084298e-19 -5.786855524596966e-18 -2.619467040871337e-18 -4.779120771380012e-19 -7.303570979276265e-19 1.027907326460023e-18 7.574444646464978e-19 3.129789648201859e-19 8.421348627415205e-20 -3.882058649534606e-20 -2.166397694455012e-20 -5.253330478380813e-21 -7.175286857372767e-22 7.654944381467267e-22 3.292141319380656e-22 -7.822345772374831e-24 2.219603402063068e-23 -1.154101566666647e-23 -1.068424258126641e-24 -1.183578349665377e-25 -5.127882001286097e-24 1.413208411938155e-24 4.143501395013377e-25 3.658888706290965e-25 -1.53774094906092e-25 1.660935193111184e-26 -4.001635215974374e-26 2.066183799124033e-26 5.765091490802395e-26 1.413472461261648e-26 1.640449992595157e-27 -2.117873540320579e-28 7.424384721766852e-28 1.871121363206906e-28
-17.85 -3.385457460352133e-32 -0 -0 -0 0 -0 -1.675975785909795e-18 1.485660231629441e-18 -1.658000869193845e-18 -2.92542497260986e-18 -4.007221670935318e-18 -9.360033398931878e-18 -5.813266419744855e-18 -3.31090295607228e-18 1.341344164492193e-17 1.347562058484469e-18 -1.800669626329534e-17 1.008035209463779e-17 2.195721405068824e-17 -3.699728341086215e-18 -1.005875998234204e-17 7.230751621632922e-18 7.380310860431051e-18 -2.929510926656992e-18 -9.184603719924002e-18 -3.42131185012741e-19 5.86421647781435e-18 7.555568463585272e-19 -1.271146916517164e-18 -1.025734997586814e-18 1.422717535494557e-18 -7.356267718606713e-19 -2.316215276941508e-18 -1.003922802011902e-18 6.49079466401382e-19 1.638722407792103e-19 -1.800872545765372e-20 -6.329517571586328e-20 -2.167483522231014e-20 1.595351311861877e-20 9.38985425277867e-21 2.517985362512636e-21 5.579275891572e-22 6.333365678076558e-23 -1.861941454151432e-23 -2.146086876644161e-23 -1.443699724879658e-23 -1.232845151262815e-23 -3.408867849634657e-24 -1.520021854398426e-24 -7.381549310235177e-25 -3.351015598159209e-25 7.604738775431324e-26 1.927943707389401e-26 4.843512554602938e-26 8.647613697805824e-27 -5.812842125182888e-27 -4.991175736161231e-27 -1.141492827685865e-27 9.087845150240482e-28 3.067887592494748e-28
