r E0_error E1_error
0 0.06142392072398628 nan
1 0.01021731318010233 1.035852744244814
2 0.003041952807169263 0.7127865568354282
3 0.0005955143175742916 0.1577784896577911
4 0.0001260646044018709 0.04493426850507243
5 1.421937818776864e-05 0.007068246226008323
6 1.83615716212171e-06 0.0008881217760007276
7 1.219907979632673e-07 6.266746127281397e-05
8 9.825806335239662e-09 4.552155573489536e-06
9 5.182498319378226e-10 2.351137470268938e-07
10 5.643699396706836e-11 2.29127880002622e-08
11 1.164152108046324e-11 5.388285484464461e-09
12 7.462086504261833e-13 2.604717552756597e-10
13 1.582345365847004e-13 6.287470544208418e-11
14 3.524958103184872e-14 7.788436562350398e-12
15 3.783084956410221e-14 7.73381358953884e-13
16 2.903233209394784e-14 8.22675261247241e-14
17 1.706967900361178e-14 3.042011087472929e-14
18 9.686695889854491e-15 3.219646771412954e-14
19 3.025357742103552e-14 2.486899575160351e-14
20 7.355227538141662e-15 1.654232306691483e-14
21 6.716849298982197e-15 1.787459069646502e-14
22 3.111400026512001e-14 4.973799150320701e-14
23 2.395306175628775e-14 2.886579864025407e-14
24 1.279532035880493e-14 3.719247132494274e-14
25 2.797762022055394e-14 4.107825191113079e-14
26 8.631984016460592e-15 4.907185768843192e-14
27 2.414735078559715e-14 2.309263891220326e-14
28 2.786659791809143e-14 2.498001805406602e-14
29 2.05391259555654e-14 4.884981308350689e-15
30 2.384203945382524e-14 5.46229728115577e-14
