x exact r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 r27 r28 r29 r30
-19.2 5.340978198699255e-129 -7.304954431075689e-81 -3.292089442440603e-18 4.888458846768545e-17 -3.992633696403423e-16 3.404974331412341e-15 1.037576278150308e-14 7.529749062818794e-15 -1.787635050185843e-13 3.051911718740712e-13 -2.230152211777595e-13 -4.10449031388265e-12 -3.795320377165742e-14 4.08883810989008e-12 -1.14090904369625e-13 -1.778423578127876e-12 -1.932881825424774e-13 7.073190592343888e-13 8.936060088112648e-14 -6.445717195356175e-14 -7.647594415705672e-14 -1.917186709244047e-14 3.031376453332199e-15 8.930379464050906e-15 2.429054468854755e-15 1.653910577094018e-16 -2.537320572258518e-16 -1.737845479060665e-16 -1.044450819840817e-16 -1.494151259513162e-16 -5.786336265871549e-17 2.237541573306089e-17
-19.05 -8.02554982515792e-44 -1.273174072686866e-79 -1.252919839672564e-79 3.79215815802442e-18 -3.983427922147137e-16 2.211373989364225e-15 -2.089240691709924e-14 4.464157256539123e-14 -5.815456655625103e-14 8.547370143241307e-14 -2.733324475543978e-13 1.716492493137779e-12 2.049519600480684e-13 -1.658111258718327e-12 -6.772062581670524e-14 7.002117329136651e-13 1.198933641458646e-13 -2.722118941580598e-13 -5.158721827468474e-14 1.820606895854547e-14 3.171127354312968e-14 9.574810790971487e-15 -4.731147658949692e-16 -3.600134824507485e-15 -1.085724000907286e-15 -1.851360920672892e-16 8.26425887716302e-17 9.405818064134739e-17 4.61994072212773e-17 1.44244725120678e-17 -5.157355507266319e-20 -9.151082565886432e-19
-18.9 5.408574380494003e-42 -2.169386489150744e-78 5.39880680486992e-77 3.643173309449098e-17 -2.581873462702755e-15 1.525747394359965e-14 -1.341037583944404e-13 3.100636556634685e-13 -5.066508751144261e-13 8.1999857395587e-13 -2.293704924534325e-12 1.112111164319184e-11 1.573137218632259e-12 -1.080385298436585e-11 -5.356173558058539e-13 4.587813878510985e-12 8.206475513188741e-13 -1.805999923494251e-12 -3.489369165775766e-13 1.187624060044993e-13 2.081992773067683e-13 6.222623532360918e-14 -3.743159510556264e-15 -2.360909313822671e-14 -6.662301430882755e-15 -1.039250388839136e-15 5.580480712973127e-16 5.611787363755822e-16 2.454743611267717e-16 7.2377517924144e-17 5.364066426186426e-18 -3.06496871392514e-18
-18.75 4.377379220069207e-41 -3.613797992068563e-77 8.987018755417293e-76 -1.242179663781272e-74 1.275787325337164e-17 -1.585578590794885e-16 2.063808084613503e-15 -6.927277048665518e-15 1.556707968747624e-14 -3.108529621748365e-14 9.444705533830162e-14 -4.944243128698582e-13 -5.767507780832841e-14 5.142258122099715e-13 3.218708564180259e-15 -2.307722281071649e-13 -3.141406593262945e-14 9.818314485118808e-14 1.31416379355514e-14 -8.666395691415103e-15 -9.913909174968164e-15 -2.220621364153631e-15 5.783330130314681e-16 1.132639638974759e-15 1.637344669004713e-16 -2.672916836998754e-17 -4.268148203064455e-17 -2.015363734880112e-17 -3.88964612801486e-18 5.237840114770178e-19 8.36224280242859e-19 4.899226802797034e-19
-18.6 -1.799308511868295e-40 -5.885285015037473e-76 1.462509033123186e-74 -2.100815219171442e-73 2.976435462322714e-18 -1.728118951711888e-17 1.529491063564652e-16 -3.140528720501295e-16 3.854330657935978e-16 -4.349011741330745e-16 1.003234103801979e-15 -4.338956811473451e-15 -1.089016709025859e-15 3.087842282145204e-15 1.170172990961573e-15 -9.283198724798494e-16 -6.43703526707776e-16 1.042097260182116e-16 3.198839323024068e-16 8.466975300067538e-17 -1.071682609728578e-16 -6.774792502497136e-17 -1.46585650403652e-17 1.514840603410453e-17 1.163854658145499e-17 3.942280717021348e-18 5.479527379538739e-20 -8.223495440526411e-19 -5.337215820437417e-19 -2.040083296071058e-19 -3.394801519672545e-20 -3.701132739942347e-21
-18.45 -9.276785539691326e-39 -9.370152679429667e-75 2.326724367638729e-73 -3.339834849398964e-72 5.996255717222302e-71 1.769927570954637e-19 -2.302754003020262e-18 8.231325029175249e-18 -1.94382770597294e-17 3.639095566358665e-17 -1.001074415801329e-16 4.755511616040269e-16 6.619534425002548e-17 -4.939972856265429e-16 -1.924865277998905e-17 2.238664599514224e-16 3.839308274372377e-17 -9.576774168283209e-17 -1.769991833692033e-17 7.838057715941478e-18 1.189975432046062e-17 3.216086742689026e-18 -5.408824970895021e-19 -1.516317368195777e-18 -3.250394430372811e-19 6.013325405933935e-22 6.147469581340857e-20 3.63580143828487e-20 9.29676294325041e-21 -9.779915849905838e-24 -1.392703076248797e-21 -8.494710042014987e-22
-18.3 -3.712138463121207e-37 -1.45847903199616e-73 3.618704786594165e-72 -5.190537656634985e-71 9.465843644351861e-70 -3.096769076328443e-20 -1.380203188538349e-18 1.990091695340381e-18 2.896209066524908e-18 -5.51597889134522e-18 -6.949934159593657e-18 2.191930240448663e-16 1.205740562027845e-17 -2.149466011196191e-16 -4.597245754179948e-19 9.214850995248644e-17 1.256025180195326e-17 -3.611388676243808e-17 -5.622698426261165e-18 2.896394808208401e-18 4.08297118544831e-18 1.135765480031285e-18 -1.053455827583137e-19 -4.663350250392622e-19 -1.339307839604439e-19 -1.983243332104427e-20 1.257664039454536e-20 1.242869179680962e-20 5.562109272059066e-21 1.692775006418841e-21 1.492223115843629e-22 -5.646270700548199e-23
-18.15 -1.283316398765146e-35 -2.219355335298038e-72 5.50201167120235e-71 -7.885836681285577e-70 1.437256458143998e-68 -8.867739496063593e-68 -1.619288294737838e-19 1.168658685216585e-19 7.874109273483103e-19 -1.281949524483786e-18 3.621137862162613e-19 1.73231122340965e-17 1.046932149632455e-18 -1.529232164636494e-17 -8.112923048505292e-19 6.026359267774825e-18 1.179771162882553e-18 -1.999380991800585e-18 -5.447584938501304e-19 7.920771287605701e-20 2.892883695025868e-19 1.127509309517855e-19 9.607958404898709e-21 -3.243532217617812e-20 -1.623107519704548e-20 -4.771551781536199e-21 1.711996795903675e-22 1.171054022605396e-21 7.467471071291619e-22 3.031106561964385e-22 6.283401189861671e-23 1.313520470476025e-23
-18 -3.847445161005378e-34 -3.301606836283742e-71 8.178021139628817e-70 -1.171194597811045e-68 2.133266776110597e-67 -1.321796825090134e-66 -1.686699227183936e-18 2.665220115685363e-18 2.228915735846278e-18 -4.234070983729332e-18 -1.299743627010632e-17 2.664852305771696e-16 1.646542151743311e-17 -2.626075284100564e-16 -7.267728704435069e-19 1.130722542650112e-16 1.539656875571764e-17 -4.474174569808632e-17 -6.813323801686349e-18 3.642692099238837e-18 4.972125465974105e-18 1.344969812137259e-18 -1.493189927025031e-19 -5.654531521784837e-19 -1.509085834778075e-19 -1.887974644275024e-20 1.587056028928957e-20 1.420471533736321e-20 6.026681758667422e-21 1.742867424869289e-21 1.193143643621662e-22 -7.911540372711908e-23
-17.85 -1.012970851999754e-32 -4.801693321121665e-70 1.188314735529884e-68 -1.700410858810707e-67 3.095204262555051e-66 -1.915776825203988e-65 8.901587596947506e-65 -1.18264146472425e-19 3.356650368769072e-19 -5.069348156966931e-19 1.167428501181564e-18 -7.846224922540692e-18 -5.335407630815123e-19 8.772535487966465e-18 -4.141288907656598e-19 -4.102709166093005e-18 -3.518952474412435e-19 1.849713229081404e-18 1.408383357611764e-19 -1.989399993312943e-19 -1.650156030883972e-19 -2.428980113691092e-20 1.568840448757009e-20 1.892408211673755e-20 5.58771586149869e-22 -1.539939970298533e-21 -9.550835187181696e-22 -2.58399885757596e-22 3.606003412429443e-23 6.08021832160162e-23 2.841204196838577e-23 1.277835517578584e-23
