x exact r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 r27 r28 r29 r30
-19.2 1.245143088853953e-128 -1.823527281529282e-17 2.835119903955877e-16 4.933610581464938e-15 -1.340262450632811e-14 8.789194689779167e-13 -2.124546831621484e-12 4.75632426937359e-12 -1.030823961964901e-11 2.713268050600787e-11 -7.870817426313217e-11 -2.083099202846426e-11 8.64564900191626e-11 8.785869003766864e-12 -3.681984144616787e-11 -8.195012984526314e-12 1.43620022425107e-11 3.033277321821435e-12 -8.792623275437593e-13 -1.56981961015239e-12 -4.686060834303967e-13 2.915160321595474e-14 1.803979801314724e-13 4.930857341716385e-14 4.38745822212522e-15 -5.622537005876162e-15 -4.249689456623469e-15 -1.315364674149971e-15 -3.611286657040669e-16 3.639039507709813e-16 4.341457254544491e-17
-19.05 -3.956247741970606e-43 2.261948158489443e-80 1.026662104448152e-16 -1.165832521377214e-14 6.395921666907984e-14 -6.531237870051394e-13 1.712784433399697e-12 -4.152017240942879e-12 7.542592134372809e-12 -1.680842042989601e-11 3.398358435450988e-11 1.139767460362558e-11 -3.53702655146404e-11 -5.36937580173095e-12 1.455952864066356e-11 4.004018993520611e-12 -5.565724517975972e-12 -1.503951252034317e-12 2.0943215613732e-13 6.52728297938276e-13 2.248417792958443e-13 2.517860938837192e-15 -7.360210720379857e-14 -2.350444607951218e-14 -4.71773561454075e-15 1.153614181260305e-15 1.683738665570103e-15 9.87848788885571e-16 2.148946401968428e-16 2.760518508019101e-17 -3.459679143363514e-17
-18.9 1.62764022406319e-41 3.112570371305447e-76 6.931698650301357e-16 -7.074522061831923e-14 4.042055065975006e-13 -3.982884636792187e-12 1.084364333362977e-11 -2.735656085748526e-11 5.07323022906104e-11 -1.144966789338993e-10 2.233122303177617e-10 7.652156891392428e-11 -2.317813784845389e-10 -3.557574918741346e-11 9.59905341206714e-11 2.666353313537995e-11 -3.718473793195702e-11 -1.004280506129477e-11 1.428218406681943e-12 4.315206120395933e-12 1.459554743533718e-12 -3.596611059031449e-15 -4.848979792111219e-13 -1.455871687781611e-13 -2.695450977531433e-14 9.289196340365192e-15 1.07189113971354e-14 4.91909347118179e-15 1.486530342160009e-15 1.969790146934231e-16 -5.370024217818377e-17
-18.75 1.306142703592372e-40 5.181424448180788e-75 -9.7224933086398e-74 3.338681727946134e-16 -4.016365713941773e-15 5.97037840089149e-14 -2.320181605885905e-13 7.556745679750882e-13 -1.739430664743874e-12 4.579502107119084e-12 -1.026247211249411e-11 -3.099461409218306e-12 1.121451766015635e-11 1.166565402028776e-12 -4.93717837092668e-12 -1.135035670631825e-12 2.05921474652424e-12 4.217015855859627e-13 -1.355727180265067e-13 -2.109619495374332e-13 -5.472322621045545e-14 9.313270657919638e-15 2.379037480375105e-14 3.863890899757719e-15 -3.267726875598778e-16 -8.186662275425867e-16 -4.058371807480098e-16 -8.528179279532179e-17 6.975206994244817e-18 1.558133532128205e-17 9.785221409899359e-18
-18.6 -6.1560565841949e-40 8.432273299708617e-74 -1.734933321999122e-72 8.672025144475612e-17 -4.795251337378275e-16 4.668117909291493e-15 -1.160052485554106e-14 2.541705833669526e-14 -3.783591579857707e-14 6.283369500591727e-14 -7.295822239124081e-14 -4.403277186907996e-14 5.787502041805078e-14 3.564807419461431e-14 -1.425871013391335e-14 -1.592624306722363e-14 1.749260170435836e-16 7.138828987541301e-15 2.523465609019739e-15 -1.958514869217587e-15 -1.481972848872044e-15 -3.924657863110673e-16 2.876496099421747e-16 2.42563748728637e-16 8.764521054087615e-17 4.799962278828907e-18 -1.502062180954327e-17 -1.047087930417923e-17 -4.078633752125867e-18 -8.802543506714368e-19 -1.007908647368245e-19
-18.45 -3.108400386589338e-38 1.341541566618534e-72 -2.758520741903945e-71 8.860973595799876e-70 4.157362275311522e-18 -6.057684670163731e-17 2.532106025221091e-16 -8.354280198407373e-16 1.868528537048832e-15 -4.69182246890245e-15 9.782151054805324e-15 3.270788824921439e-15 -1.069555797136608e-14 -1.530209815336209e-15 4.733593263437804e-15 1.287575895759486e-15 -1.983259251371407e-15 -5.230045164927812e-16 1.077578414123503e-16 2.499042930758667e-16 7.757581110221051e-17 -7.104572964360076e-18 -3.159949956897358e-17 -7.379306088481743e-18 -3.496069037831993e-19 1.157095203936749e-18 7.236099037070343e-19 1.972288651105271e-19 5.513294592321136e-21 -2.508168015275277e-20 -1.666828729596735e-20
-18.3 -1.244504466295954e-36 2.08653623304224e-71 -4.287676929777481e-70 1.421140110925093e-68 3.914655450808892e-18 -6.172380755443886e-17 1.56153022476212e-16 -3.668938984970282e-16 7.208622172060333e-16 -1.736200633487459e-15 4.250439334687274e-15 1.257554573461113e-15 -4.555694354698668e-15 -5.687244126228415e-16 1.907650431300861e-15 4.705887583221969e-16 -7.338516803236174e-16 -1.759892321649836e-16 3.655331660476421e-17 8.364004192245417e-17 2.709545264402113e-17 -4.971467123176874e-19 -9.49649718797906e-18 -2.914884141192085e-18 -5.249234730345475e-19 2.090537881299941e-19 2.362779607117553e-19 1.109380903279782e-19 3.450994055104515e-20 4.971172657665996e-21 -9.447773799198773e-22
-18.15 -4.29957252052563e-35 3.172549344742637e-70 -6.515055669740443e-69 2.15852980911003e-67 -1.348073429979035e-66 -8.51137502315757e-18 1.819616692734798e-17 -3.678378521061836e-17 6.39433990407561e-17 -1.39437302613175e-16 3.152607812275569e-16 1.044832153570663e-16 -3.132717413182615e-16 -6.034503031940828e-17 1.186963611029641e-16 3.814670481208548e-17 -3.853606502466784e-17 -1.467838684520673e-17 -2.648816024720361e-19 5.641827606309128e-18 2.546050514679627e-18 3.557255336884718e-19 -6.342248423869322e-19 -3.396255019208362e-19 -1.077364500934829e-19 -1.913176617851007e-21 2.133856418164226e-20 1.457233896960211e-20 6.019872890401549e-21 1.534915062556643e-21 2.900353300277444e-22
-18 -1.287446567845941e-33 4.715738916157205e-69 -9.677481258547143e-68 3.204944482286285e-66 -1.911652314797933e-65 -7.214937555393582e-17 1.874590852429133e-16 -4.481356740634611e-16 8.877598256316906e-16 -2.152359143717578e-15 5.203003614412787e-15 1.544138745389934e-15 -5.583058188725033e-15 -6.841595097503436e-16 2.349854706483066e-15 5.744180224100371e-16 -9.130298124765241e-16 -2.140901346719599e-16 4.767149126883089e-17 1.023468852184842e-16 3.220095265513891e-17 -1.140624092632144e-18 -1.156214674881501e-17 -3.30364288168981e-18 -5.249090424643181e-19 2.70761094236987e-19 2.71353469818787e-19 1.206114052653276e-19 3.571427278022468e-20 4.520473161724466e-21 -1.400956600878379e-21
-17.85 -3.385457460352133e-32 6.852486943689342e-68 -1.405246277850386e-66 4.651807757722274e-65 -2.771616200484909e-64 1.732213323814561e-63 -2.015149056104993e-18 8.9821553342882e-18 -2.289832871335946e-17 6.454659396848007e-17 -1.670574942898572e-16 -4.34084425992534e-17 1.936225256747758e-16 1.087248839077347e-17 -8.917784466189567e-17 -1.64503792858924e-17 3.911289488974773e-17 5.839465928839797e-18 -3.376029804376556e-18 -3.583597085050559e-18 -6.70843339415602e-19 2.864935520649653e-19 4.04158377809407e-19 2.146454250896429e-20 -2.819082575515062e-20 -1.911916827299959e-20 -5.537549748578736e-21 5.053950979663114e-22 1.134826652280206e-21 5.887896772097156e-22 2.596296959464774e-22
-17.7 -7.799878641671448e-31 9.734236428963561e-67 -1.994739169115566e-65 6.600231423324209e-64 -3.92803612968087e-63 1.378382202337878e-62 1.751324951478076e-18 -3.76707382052733e-18 8.753621374351708e-18 -2.458922969989819e-17 7.914048401376228e-17 1.954884947701004e-17 -8.789738903836578e-17 -7.746579786168786e-18 3.765940349241873e-17 7.855856485768645e-18 -1.475048360710024e-17 -2.855275822155482e-18 9.911515957585414e-19 1.555555600401481e-18 4.375313319931411e-19 -3.970803220328349e-20 -1.741846294641265e-19 -4.431059622454559e-20 -4.911073653532311e-21 4.892305694945311e-21 4.109752413511694e-21 1.720551633126272e-21 4.910167208771162e-22 5.79069795168975e-23 -2.2166213588846e-23
